Município;Código;Gentílico;Prefeito_2017;Area_Territorial_KM2_2019;Populacao_Estimada_Pessoas_2020;Densidade_Demográfica_Hab_KM2_2010;Escolarização_6_a_14_anos_%_2010;IDHM_2010;Mortalidade_infantil_óbitos_por_mil_nascidos_vivos_2017;DespesasEmpenhadas_REAIS_X_1000_2017;PIB_per_capita_REAIS_2017
Duartina;3514502;duartinense;ADERALDO PEREIRA DE SOUZA JUNIOR;264.557;12433;46.31;98.3;0.748;6.8;3.479.601.249;20076.39
Dumont;3514601;dumonense;ALAN FRANCISCO FERRACINI;111.376;10023;73.13;97.6;0.744;9.71;2.584.689.081;24711.75
Echaporã;3514700;echaporense;LUIS GUSTAVO EVANGELISTA;515.258;6064;12.26;98.8;0.745;24.69;2.162.941.985;20504.3
Eldorado;3514809;eldoradense;DURVAL ADELIO DE MORAIS;1.654.256;15544;8.85;97.3;0.691;14.56;3.975.467.225;23452.26
Elias Fausto;3514908;elias-faustense;MAURICIO BARONI BERNARDINETTI;202.36;17936;77.83;97.3;0.695;14.42;5.215.579.784;36355.8
Elisiário;3514924;elisiarense;RUBENS FRANCISCO;93.98;3697;33.2;98.6;0.747;26.32;1.507.041.166;19196.39
Embaúba;3514957;embaubense;ROGERIO CLEBER PERES;83.129;2449;29.15;100;0.73;55.56;1.403.784.829;21949.7
Embu das Artes;3515004;embuense;CLAUDINEI ALVES DOS SANTOS;70.398;276535;3412.89;96.8;0.735;11.41;55.980.658.715;43860.23
Embu-Guaçu;3515103;embu-guaçuense;MARIA LUCIA DA SILVA MARQUES;155.641;69901;403.32;97.1;0.749;5.95;12.715.569.309;15284.76
Emilianópolis;3515129;emilianópolense;JOÃO BATISTA AMARAL;225.167;3227;13.45;97.3;0.727;25;1.395.866.666;18994.35
Engenheiro Coelho;3515152;engenheiro coelhense;PEDRO FRANCO DE OLIVEIRA;109.941;21249;142.99;98.5;0.732;7.35;502.249.802;30601.28
Espírito Santo do Pinhal;3515186;pinhalense;SERGIO DEL BIANCHI JUNIOR;389.235;44471;107.61;97.9;0.787;4.18;9.830.415.753;28503.78
Espírito Santo do Turvo;3515194;espírito santense;AFONSO NASCIMENTO NETO;193.666;4878;21.92;97.4;0.696;45.45;1.794.254.007;15178.53
Estrela d'Oeste;3515202;estrelense;ANTONIO VALTER DOS SANTOS;296.281;8419;27.69;99;0.76;18.35;3.289.195.349;101518.88
Estrela do Norte;3515301;estrelense;CICERO CIRINO DA SILVA;264.987;2770;10.09;98.9;0.74;27.78;1.434.214.864;23282.62
Euclides da Cunha Paulista;3515350;euclidense;CHRISTIAN FUZIKI IKEDA;573.894;9325;16.66;98.5;0.704;27.27;2.647.153.319;11500.68
Fartura;3515400;farturense;HAMILTON CESAR BORTOTTI;429.171;16070;35.7;97.4;0.732;5;4.395.959.744;24248.01
Fernandópolis;3515509;fernandopolense;ANDRÉ GIOVANNI PESSUTO CANDIDO;549.797;69402;117.62;99.4;0.797;17.65;17.468.338.965;28109.45
Fernando Prestes;3515608;fernando-prestense;BENTO LUCHETTI JUNIOR;169.99;5794;32.43;96.5;0.758;14.93;1.967.936.307;34512.03
Fernão;3515657;fernãoense;ADELCIO APARECIDO MARTINS;100.504;1727;15.51;99.1;0.703;55.56;1.148.403.755;27240.48
Ferraz de Vasconcelos;3515707;ferrazense;JOSÉ CARLOS FERNANDES CHACON;29.564;196500;5692.55;97.6;0.738;11.03;26.726.232.101;15830.42
Flora Rica;3515806;flora-riquense;JOSE DE CASTRO AGUIAR FILHO;224.711;1430;7.78;99.1;0.727;45.45;1.214.719.562;24976.72
Floreal;3515905;florealense;JOÃO MANOEL DE CASTILHO;204.236;2900;14.7;96.2;0.747;55.56;1.743.996.057;19937.6
Flórida Paulista;3516002;floridense;WILSON FROIO JUNIOR;524.138;14790;24.47;98.9;0.715;23.08;3.187.861.943;13775.64
Florínea;3516101;florinense ou florineano;PAULO EDUARDO PINTO;225.886;2653;12.54;96.6;0.713;25;165.833.992;83992.2
Franca;3516200;francano;GILSON DE SOUZA;605.679;355901;526.09;98.2;0.78;8.8;69.376.486.769;27097.66
Francisco Morato;3516309;moratense;RENATA TORRES DE SENE;49.001;177633;3147.8;95.8;0.703;10.93;28.306.188.222;8535.03
Franco da Rocha;3516408;franco-rochense;FRANCISCO DANIEL CELEGUIM DE MORAIS;132.775;156492;980.95;95.7;0.731;14.24;28.328.564.064;20265.91
Gabriel Monteiro;3516507;monteirense;VANDERLEI ANTONINHO MENDONÇA;138.681;2776;19.55;99.7;0.763;40;138.922.692;27089.48
Gália;3516606;galiense;RENATO INACIO GONÇALVES;355.914;6482;19.69;97;0.709;38.46;207.128.507;20344.84
Garça;3516705;garcense;JOAO CARLOS DOS SANTOS;555.807;44409;77.6;98.1;0.769;16.98;13.660.683.684;25999.84
Gastão Vidigal;3516804;vidigalense;ROBERTO CARLOS DA SILVA BRESEGHELLO;180.569;4860;23.17;96.6;0.723;45.45;1.522.179.347;14241.82
Gavião Peixoto;3516853;gavionense;GUSTAVO MARTINS PICCOLO;243.766;4815;18.13;98.7;0.719;14.49;3.704.895.802;177213.56
General Salgado;3516903;salgadense;LEANDRO ROGERIO DE OLIVEIRA;494.376;10862;21.63;98.5;0.747;8.2;4.419.869.202;23729.64
Getulina;3517000;getulinense;ANTONIO CARLOS MAIA FERREIRA;676.755;11447;15.86;99.4;0.717;10;2.748.055.568;17172.85
Glicério;3517109;glicerense;ILDO DE SOUZA;272.8;4829;16.69;98.5;0.735;15.38;1.852.322.084;20221.31
Guaiçara;3517208;guaiçarense;OSVALDO AFONSO COSTA;277.154;12294;39.35;98.4;0.739;12.5;2.977.761.906;15609.27
Guaimbê;3517307;guaimbeense;ALBERTINO DOMINGUES BRANDÃO;217.811;5785;24.88;99;0.728;11.24;1.931.637.921;12562.26
Guaíra;3517406;guairense;JOSÉ EDUARDO COSCRATO LELIS;1.258.465;41040;29.72;97.8;0.753;6.26;15.656.554.772;91773.43
Guapiaçu;3517505;guapiaçuense;CARLOS CESAR ZAITUNE;325.126;21775;55;98;0.725;4.17;6.187.292.947;25632.58
Guapiara;3517604;guapiense;JUSMARA RODOLFO PASSARO;408.292;17025;44.08;96.7;0.675;36.76;4.456.750.092;17979.36
Guará;3517703;guaraense;MARCO AURÉLIO MIGLIORI;362.183;21308;54.78;98;0.718;4.17;5.490.499.999;20036.12
Guaraçaí;3517802;guaraçaiense;NELSON KAZUMI TANAKA;569.197;8290;14.8;98;0.719;42.25;2.590.289.786;27048.5
Guaraci;3517901;guaraciense;ELSON MACHADO SILVEIRA;641.501;11287;15.55;97;0.737;16.26;4.717.214.591;34356.04
Guarani d'Oeste;3518008;guaraniense;NILSON TIMPORIM CAFFER;85.7;1998;23.03;95.6;0.732;50;1.161.059.837;16860.59
Guarantã;3518107;guarantãense;CLAUDIO JOSE DA TRINDADE;461.746;6675;13.89;98.9;0.713;44.12;1.891.666.553;24977.66
Guararapes;3518206;guararapense;TAREK DARGHAM;955.637;33100;31.99;99.6;0.763;10.81;8.691.560.146;30233.85
Guararema;3518305;guararemense;ADRIANO DE TOLEDO LEITE;270.816;30136;95.43;97.3;0.731;9.85;16.131.960.779;33161.69
Guaratinguetá;3518404;guaratinguetaense;MARCUS AUGUSTIN SOLIVA;752.636;122505;148.91;97.8;0.798;13.79;30.489.553.466;43828.48
Guareí;3518503;guareiense;JOSÉ AMADEU DE BARROS;567.884;18887;25.72;96.3;0.687;6.58;3.644.106.027;13664.68
Guariba;3518602;guaribense;FRANCISCO DIAS MANÇANO JUNIOR;270.289;40487;131.29;97.3;0.719;9.96;9.482.885.351;22680.97
Guarujá;3518701;guarujaense;VALTER SUMAN;144.794;322750;2026.8;95.9;0.751;18.51;115.355.418.582;27220.37
Guarulhos;3518800;guarulhense;GUSTAVO HENRIC COSTA;318.675;1392121;3834.51;97.1;0.763;11.59;398.543.868.069;41318.74
Guatapará;3518859;guataparaense;JURACI COSTA DA SILVA;413.567;7709;16.84;99.1;0.743;18.18;2.667.109.258;28824.48
Guzolândia;3518909;guzolandense;LUIZ ANTONIO PEREIRA DE CARVALHO;252.477;5307;18.86;85.3;0.697;16.13;1.760.196.305;11900.44
Herculândia;3519006;herculandense;RICHARDSON BRANCO NUNES;364.252;9588;23.85;98.4;0.727;9.71;22.891.195;32176.87
Holambra;3519055;holambrense;FERNANDO FIORI DE GODOY;65.577;15272;172.3;98.8;0.793;4.67;6.793.448.903;64813.35
Hortolândia;3519071;hortolandense;ANGELO AUGUSTO PERUGINI;62.416;234259;3094.16;97.5;0.756;8.08;67.418.619.628;58188.31
Iacanga;3519105;iacanguense;ISMAEL EDSON BOIANI;547.393;11858;18.29;96.7;0.745;7.63;412.838.993;36426.05
Iacri;3519204;iacriano;CARLOS ALBERTO FREIRE;321.948;6295;19.9;99.4;0.733;17.86;1.717.247.081;31973.81
Iaras;3519253;iarense;FRANCISCO PINTO DE SOUZA;401.381;9517;15.89;98.5;0.674;54.05;2.349.336.282;14701.4
Ibaté;3519303;ibateense;JOSE LUIZ PARELLA;290.978;35472;105.74;97.6;0.703;3.98;8.251.537.296;26759.56
Ibirá;3519402;ibiraense;EDVARD ALBERTO COLOMBO;271.912;12518;40.07;98.4;0.74;13.7;3.714.219.875;20329.69
Ibirarema;3519501;ibiraremense;THIAGO ANTÔNIO BRIGANÓ;228.23;7841;29.45;97.4;0.708;29.85;2.389.156.961;23927.43
Ibitinga;3519600;ibitinguense;CRISTINA MARIA KALIL ARANTES;689.391;60600;77.12;95.8;0.747;13.48;13.435.173.134;25233.68
Ibiúna;3519709;ibiunense;JOÃO BENEDICTO DE MELLO NETO;1.058.082;79479;67.31;95.8;0.71;12.74;1.840.892.641;21050.04
Icém;3519808;icense;MARIA DE LOURDES GOMES DA SILVA DE MORAI;362.355;8304;20.58;98.5;0.72;27.27;3.359.575.417;22073.15
Iepê;3519907;iepense;ANTONIO MENOCCI;594.974;8194;12.81;97.9;0.736;19.42;301.662.191;30222.73
Igaraçu do Tietê;3520004;iguaraçuense;CARLOS ALBERTO VARASQUIM;97.747;24749;239.07;98.8;0.727;20.76;5.917.584.358;12177.1
Igarapava;3520103;igarapavense;JOSE RICARDO RODRIGUES MATTAR;468.355;30614;59.7;97.8;0.768;6.71;828.253.599;35787.31
Igaratá;3520202;igaratense;CELSO FORTES PALAU;292.953;9583;30.14;99.1;0.711;8.2;3.853.221.607;23020.44
Iguape;3520301;iguapense;WILSON ALMEIDA LIMA;1.978.795;30989;14.58;99.5;0.726;32.79;8.926.986.164;26430.11
Ilhabela;3520400;ilhabelense;MARCIO BATISTA TENÓRIO;346.389;35591;81.13;98.3;0.756;9.43;41.701.791.236;184493.91
Ilha Comprida;3520426;ilha compridense;GERALDINO BARBOSA DE OLIVEIRA JÚNIOR;196.567;11362;47.01;98.2;0.725;6.29;9.302.952.622;65028.5
Ilha Solteira;3520442;ilhense;EDSON GOMES;652.641;26788;38.42;99.3;0.812;14.04;11.143.211.982;23641.14
Indaiatuba;3520509;indaiatubano;NILSON ALCIDES GASPAR;311.545;256223;646.11;98.2;0.788;9.7;95.951.237.517;56301.42
Indiana;3520608;indianense;CELEIDE APARECIDA FLORIANO;129.367;4879;38.11;98;0.761;18.18;1.567.878.153;12414.47
Indiaporã;3520707;indiaporãense;ELAINE ALVARES SILVEIRA ROCHA;279.606;3886;13.96;98.5;0.751;20.41;1.898.209.407;23480.79
Inúbia Paulista;3520806;inubense;JOAO SOARES DOS SANTOS;87.119;4019;41.53;98.3;0.759;-;1.435.947.921;35570.58
Ipaussu;3520905;ipauçuense;SERGIO GALVANIN GUIDIO FILHO;209.554;15069;65.17;97.9;0.727;15.71;4.259.493.842;24913.92
Iperó;3521002;iperoense;VANDERLEI POLIZELI;170.289;37964;166.2;98.9;0.719;11.49;8.268.638.315;16164.47
Ipeúna;3521101;ipeunense;JOSE ANTONIO DE CAMPOS;190.01;7687;31.66;98.8;0.753;9.62;2.638.376.638;97251.2
Ipiguá;3521150;ipiguaense;EMILIO PAZIANOTO;136.028;5476;32.89;98.5;0.73;20;1.814.167.521;19439.57
Iporanga;3521200;iporanguense;VALMIR DA SILVA;1.152.059;4199;3.73;97.3;0.703;17.54;1.938.515.534;11743.97
Ipuã;3521309;ipuãnense;JOSE FRANCISCO SOUZA AVILA;466.461;16604;30.37;98;0.749;10.53;5.448.504.373;23807.09
Iracemápolis;3521408;iracemapolense;FABIO FRANCISCO ZUZA;115.118;24614;173.99;95.7;0.776;8.62;7.610.780.334;56294.14
Irapuã;3521507;irapuense;HAROLDO JOSE PEREIRA CIOCCA;257.612;8048;28.21;97.9;0.713;12.5;2.079.486.392;18961.09
Irapuru;3521606;irapuruense;SILVIO USHIJIMA;214.461;8325;36.24;95.1;0.712;25;1.815.140.176;10461.33
Itaberá;3521705;itaberaense;ALEX ROGERIO CAMARGO DE LACERDA;1.100.247;17480;16.08;97.9;0.693;32.26;521.254.518;29927.37
Itaí;3521804;itaiense;THIAGO DOS SANTOS MICHELIN;1.092.884;27382;22.17;97.9;0.713;3.03;7.614.201.532;22159.23
Itajobi;3521903;itajobiense;LAIRTO LUIZ PIOVESANA FILHO;502.066;15297;28.99;94.9;0.73;17.24;6.368.173.156;78173.65
Itaju;3522000;itajuense;JOSE LUIS FURCIN;230.355;3887;14.12;98.7;0.705;31.25;1.572.953.704;29092.19
Itanhaém;3522109;itanhaense;MARCO AURELIO GOMES DOS SANTOS;601.711;103102;144.69;97.5;0.745;7.2;3.783.863.151;18811.6
Itaoca;3522158;itaoquense;FREDERICO DIAS BATISTA;183.015;3330;17.64;98.8;0.68;47.62;1.617.857.517;11682.88
Itapecerica da Serra;3522208;itapecericano;JORGE JOSÉ DA COSTA;150.742;177662;1011.57;96.8;0.742;10.39;36.630.484.686;19200.84
Itapetininga;3522307;itapetingano;SIMONE APARECIDA CURRALADAS DOS SANTOS;1789.35;165526;80.65;96.4;0.763;15.6;42.675.460.157;27855.67
Itapeva;3522406;itapevense;LUIZ ANTONIO HUSSNE CAVANI;1.826.258;94804;48.05;98.4;0.732;8.01;26.397.264.795;25345.44
Itapevi;3522505;itapeviense;IGOR SOARES EBERT;82.658;240961;2428.88;96.5;0.735;11.69;53.397.066.809;50533.58
Itapira;3522604;itapirense;JOSE NATALINO PAGANINI;518.416;75234;132.21;98;0.762;23.66;25.034.039.636;46827.69
Itapirapuã Paulista;3522653;itapirapuã paulistense;JOAO BATISTA DE ALMEIDA CESAR;406.478;4268;9.55;99;0.661;30.3;158.424.124;9131.97
Itápolis;3522703;itapolitano;EDMIR ANTONIO GONÇALVES;996.747;43331;40.18;98.4;0.744;13.19;10.805.313.907;32121.54
Itaporanga;3522802;itaporanguense;VILSON APARECIDO RODRIGUES;507.997;15173;28.66;97.9;0.719;20.2;3.498.269.882;20382.91
Itapuí;3522901;itapuiense;ANTONIO ALVARO DE SOUZA;140.023;14147;86.46;96.5;0.725;32.47;4.032.040.542;45673.26
Itapura;3523008;itapurense;FABIO DOURADO;301.653;4951;14.46;98;0.72;25;2.297.943.781;21217.12
Itaquaquecetuba;3523107;itaquaquecetubense;MAMORU NAKASHIMA;82.622;375011;3895.24;96.4;0.714;12.92;57.377.286.888;19221.3
Itararé;3523206;itarareense;HELITON SCHEIDT DO VALLE;1003.86;50642;47.76;98;0.703;15.55;10.027.038.884;17375.57
Itariri;3523305;itaririense;DINAMERICO GONÇALVES PERONI;273.667;17598;56.53;96.4;0.677;12.82;3.488.620.054;15794.25
Itatiba;3523404;itatibense;DOUGLAS AUGUSTO PINHEIRO DE OLIVEIRA;322.276;122581;314.9;97.8;0.778;8.54;36.819.590.964;47778.72
Itatinga;3523503;itatinguense;JOÃO BOSCO BORGES;979.817;20921;18.42;98;0.706;3.64;6.068.049.774;15435.84
Itirapina;3523602;itirapinense;JOSE MARIA CANDIDO;564.603;18387;27.49;97.8;0.724;11.7;6.336.974.657;21959.99
Itirapuã;3523701;itirapuãnense;RUI GONÇALVES;161.118;6543;36.71;99.1;0.707;28.99;1.768.896.235;12222.24
Itobi;3523800;itobiano;ANTONIO ELIAS FILHO;138.986;7852;54.2;98.6;0.717;35.71;1.657.964.617;15706.27
Itu;3523909;ituano;GUILHERME DOS REIS GAZZOLA;640.719;175568;241.01;94.3;0.773;11.21;53.016.351.302;44504.91
Itupeva;3524006;itupevense;MARCO ANTONIO MARCHI;200.816;62813;223.38;97.4;0.762;16.53;22.537.151.487;107387.5
Ituverava;3524105;ituveravense;ADRIANA QUIREZA JACOB LIMA MACHADO;704.659;42045;54.87;97.9;0.765;6.24;13.606.657.043;39097.45
Jaborandi;3524204;jaborandiense;MARCOS ANTONIO DANIEL;273.438;6946;24.11;98.3;0.711;48.39;258.157.643;20543.76
Jaboticabal;3524303;jaboticabalense;JOSÉ CARLOS HORI;706.602;77652;101.42;97.9;0.778;13.02;26.987.444.489;35944.33
Jacareí;3524402;jacareiense;IZAIAS JOSÉ DE SANTANA;464.272;235416;454.94;98.3;0.777;11.05;79.561.947.276;50886.68
Jaci;3524501;jaciense;RAFAEL TRÍDICO;145.133;7196;38.87;97.7;0.723;11.49;2.316.848.995;50969.68
Jacupiranga;3524600;jacupiranguense;DEBORA CRISTINA VOLPINI;704.189;17889;24.44;97.4;0.717;11.45;4.247.718.526;33783.26
Jaguariúna;3524709;jaguariunense;MÁRCIO GUSTAVO BERNARDES REIS;141.391;58722;313.37;98;0.784;8.75;30.243.147.496;209320.86
Jales;3524808;jalesense;FLAVIO PRANDI FRANCO;368.574;49201;127.57;98.9;0.776;9.69;13.560.682.028;28394.63
Jambeiro;3524907;jambeirense;CARLOS ALBERTO DE SOUZA;184.413;6717;29.01;97.7;0.756;59.7;2.767.064.067;36787.92
Jandira;3525003;jandirense;PAULO FERNANDO BARUFI DA SILVA;17.449;126356;6207.76;96.9;0.76;11.67;23.598.583.921;33158.63
Jardinópolis;3525102;jardinopolense;JOÃO CIRO MARCONI;501.87;44970;74.99;97.1;0.735;14.52;12.044.774.933;24993.12
Jarinu;3525201;jarinuense;ELIANE LORENCINI CAMARGO;207.549;30617;114.85;98.2;0.733;6.33;10.796.003.669;78890.07
Jaú;3525300;jauense;RAFAEL LUNARDELLI AGOSTINI;687.103;151881;191.09;97.8;0.778;11.66;361304.59;31163.28
Jeriquara;3525409;jeriquarense;EDER LUIZ CARVALHO GONÇALVES;141.971;3151;22.26;98;0.703;20.83;1.576.701.664;26095.3
Joanópolis;3525508;joanopolitano;MAURO APARECIDO GARCIA BANHOS;374.293;13338;31.44;95.8;0.699;7.25;3.582.519.274;16043.39
João Ramalho;3525607;ramalhense;WAGNER MATHIAS;415.452;4551;9.99;99.4;0.741;16.13;190.481.281;40077.94
José Bonifácio;3525706;bonifacense;CELSO OLIMAR CALGARO;860.2;37366;38.1;99;0.777;4.26;8.504.946.331;38399.66
Júlio Mesquita;3525805;júlio-mesquitense;JOSE CARLOS MIRA;128.183;4800;34.55;97.7;0.716;34.48;1.629.430.831;10875.6
Jumirim;3525854;jumirense;DARCI SCHIAVI;56.685;3418;49.36;99.2;0.741;29.41;159.385.812;32107.9
Jundiaí;3525904;jundiaiense;LUIZ FERNANDO ARANTES MACHADO;431.207;423006;858.42;98.2;0.822;10.55;185.620.008.543;100679.5
Junqueirópolis;3526001;junqueiropolense;HELIO APARECIDO MENDES FURINI;582.565;20831;32.12;96.8;0.745;8.55;6.010.534.605;30128.38
Juquiá;3526100;juquiaense;RENATO DE LIMA SOARES;812.799;18718;23.68;97.7;0.7;17.99;4.332.419.616;18842.54
Juquitiba;3526209;juquitibense;AYRES SCORSATTO;522.169;31646;55.03;98.5;0.709;4.42;7.319.019.701;15653.16
Lagoinha;3526308;lagoinhense;TIAGO MAGNO DE OLIVEIRA;255.472;4889;18.95;99;0.693;40;1.538.531.473;11048.85
Laranjal Paulista;3526407;laranjalense;ALCIDES DE MOURA CAMPOS JUNIOR;384.274;28785;65.75;98.1;0.729;9.04;8.013.234.929;36123.07
Lavínia;3526506;lavinense;CLOVIS IZIDIO DE ALMEIDA;537.675;12285;16.33;98.6;0.721;14.49;3.192.057.164;13224.6
Lavrinhas;3526605;lavrinhense;SERGIO RUGGERI DE MELO;167.067;7311;39.45;98.5;0.729;30.93;214.259.798.799.999;15329.69
Leme;3526704;lemense;WAGNER RICARDO ANTUNES FILHO;402.871;104346;227.75;97.7;0.744;9.07;28.262.706.268;29434.15
Lençóis Paulista;3526803;lençoiense;ANDERSON PRADO DE LIMA;809.541;68990;75.88;99;0.764;5.81;2.092.687.412;38248.16
Limeira;3526902;limeirense;MÁRIO CELSO BOTION;580.711;308482;475.32;97.7;0.775;8.01;9.005.214.526;40393.18
Lindóia;3527009;lindoiano;LUIZ CARLOS SCARPIONI ZAMBOLIM;48.756;8092;137.67;97.4;0.742;28.57;3.062.069.173;21407.13
Lins;3527108;linense;EDGAR DE SOUZA;570.058;78503;124.98;98.4;0.786;10.66;1.828.737.478;46402.67
Lorena;3527207;lorenense;FABIO MARCONDES;414.16;89125;199.29;97.2;0.766;7.92;18.799.075.789;27729.79
Lourdes;3527256;lourdense;GISELE TONCHIS;113.94;2300;18.71;98.4;0.742;90.91;1.204.396.269;17116.41
Louveira;3527306;louveirense;NICOLAU FINAMORE JUNIOR;55.133;49993;673.37;97.3;0.777;15.04;38.352.537.831;300639.4
Lucélia;3527405;luceliense;CARLOS ANANIAS CAMPOS DE SOUZA JUNIOR;314.81;21886;63.17;99.4;0.752;5.85;445.939.814.699.999;19958.94
Lucianópolis;3527504;lucianopolense;HUMBERTO ZANINOTO MALDONADO;189.536;2403;11.85;99.1;0.733;35.71;1.290.607.153;20494.96
Luís Antônio;3527603;luís-antoniense;GABRIEL CARVALHAES ROSATTI;598.257;15292;18.85;99.4;0.731;26.6;6.072.143.339;94395.57
Luiziânia;3527702;luiziano;RICARDO MATHIAS BERTAGLIA;166.576;5855;30.2;92.8;0.702;17.54;15.679.586;12539.7
Lupércio;3527801;lupercense;ANEZIO KEMP;155.171;4596;28.18;94.5;0.724;45.45;1.609.420.027;15201.35
Lutécia;3527900;luteciano;EDUARDO GIROTTO;475.226;2636;5.71;93.7;0.72;23.26;1.480.229.419;34162.21
Macatuba;3528007;macatubense;MARCOS DONIZETI OLIVATTO;224.514;17214;72.19;99.3;0.77;15.63;6.245.457.101;35562.72
Macaubal;3528106;macaubalense;WANDERLEI MELHADO GUIZZI;248.087;8147;30.88;97.9;0.743;22.22;2.143.826.452;19851.42
Macedônia;3528205;macedoniense;LUCILENE CABREIRA GARCIA MARSOLA;327.567;3692;11.18;99.3;0.74;41.67;1.845.217.525;20349.57
Magda;3528304;magdense;VIVIANE APARECIDA CASELLI VITAL;312.282;3102;10.27;96.5;0.753;31.25;2.081.579.342;33459.05
Mairinque;3528403;mairinquense;OVÍDIO ALEXANDRE AZZINI;210.149;47441;205.53;96.9;0.743;11.9;15.435.679.392;36639.11
Mairiporã;3528502;mairiporense;ANTONIO SHIGUEYUKI AIACYDA;320.697;101937;252.44;98.1;0.788;8.77;21.709.097.814;17957.29
Manduri;3528601;mandurinense;PAULO ROBERTO MARTINS;229.046;9910;39.26;98.9;0.739;9.17;2.411.031.096;21570.24
Marabá Paulista;3528700;marabaense;MIGUEL DUARTE COSTA;919.519;5948;5.24;99;0.677;52.63;1.885.370.276;21499.29
Maracaí;3528809;maracaiense;EDUARDO CORREA SOTANA;533.498;14036;24.97;98.3;0.771;18.87;4.304.932.467;29700.8
