Município;Código;Gentílico;Prefeito_2017;Area_Territorial_KM2_2019;Populacao_Estimada_Pessoas_2020;Densidade_Demográfica_Hab_KM2_2010;Escolarização_6_a_14_anos_%_2010;IDHM_2010;Mortalidade_infantil_óbitos_por_mil_nascidos_vivos_2017;DespesasEmpenhadas_REAIS_X_1000_2017;PIB_per_capita_REAIS_2017
Ribeirão Grande;3543253;ribeirão grandense;ELIANA DOS SANTOS SILVA;333.363;7679;22.26;96.8;0.705;11.49;2.467.096.158;38485.65
Ribeirão Pires;3543303;ribeirão-pirense;ADLER ALFREDO JARDIM TEIXEIRA;99.075;124159;1140.73;97.4;0.784;9.15;27.371.116.042;25002.17
Ribeirão Preto;3543402;ribeirão-pretano;ANTONIO DUARTE NOGUEIRA JUNIOR;650.916;711825;928.92;96.9;0.8;9.19;249.764.250.729;51759.84
Riversul;3543501;riversulense;JOSÉ GUILHERME GOMES;385.878;5443;15.96;95.9;0.664;15.87;1.803.281.346;11204.04
Rifaina;3543600;rifainense;HUGO CESAR LOURENÇO;162.508;3640;21.14;99.2;0.74;23.26;2.780.257.514;30891.69
Rincão;3543709;rinconense;EDSON BRITO BOLITO;316.639;10812;32.96;98.2;0.734;7.75;2.917.087.756;19751.06
Rinópolis;3543808;rinopolense;JOSE FERREIRA DE OLIVEIRA NETO;358.481;9961;27.73;98.6;0.723;28.57;2.576.917.976;23968.34
Rio Claro;3543907;rio-clarense;JOAO TEIXEIRA JUNIOR;498.422;208008;373.69;98.2;0.803;11.81;73.241.203.469;46406.99
Rio das Pedras;3544004;rio-pedrense;ANTONIO CARLOS DEFAVARI;226.657;35738;130.16;98.4;0.759;5.15;9.462.713.742;35189.43
Rio Grande da Serra;3544103;riogranserrense ou serrano ou riogransense;LUIS GABRIEL FERNANDES DA SILVEIRA;36.341;51436;1210.04;98.2;0.749;8;7.289.705.085;12365.16
Riolândia;3544202;riolandense;FABIANA BARCELOS FERREIRA;631.897;12689;16.7;96.7;0.703;9.09;3.488.575.768;18728.6
Rosana;3544251;rosanense;SILVIO GABRIEL;744.011;16281;26.51;98.1;0.764;13.04;8.095.572.407;70531.04
Roseira;3544301;roseirense;JONAS POLYDORO;130.654;10801;73.47;98.7;0.737;37.59;3.001.964.446;26969.85
Rubiácea;3544400;rubiacense;LENIRA MARIA SILVA DE NOVAIS;236.484;3162;11.52;99.5;0.721;28.57;1.322.927.953;20359.91
Rubinéia;3544509;rubineiense;APARECIDO GOULART;242.877;3170;11.78;100;0.759;43.48;2.009.432.874;26297.1
Sabino;3544608;sabinense;EDER RUIZ MAGALHAES DE ANDRADE;305.285;5614;16.78;97.2;0.728;17.86;2.100.327.135;21285.04
Sagres;3544707;sagrense;RICARDO RIVED GARCIA;147.935;2430;16.2;99.2;0.73;38.46;115.076.192;17651.47
Sales;3544806;salense;GENIVALDO DE BRITO CHAVES;308.555;6407;17.67;100;0.751;17.24;2.715.044.214;23167.99
Sales Oliveira;3544905;salense;EDMAR DUARTE GOMIERO;305.776;11998;34.58;98.8;0.772;7.52;3.653.791.764;30865.62
Salesópolis;3545001;salesopolense;VANDERLON OLIVEIRA GOMES;424.997;17252;36.79;98.4;0.732;5.32;3.824.498.838;11869
Salmourão;3545100;salmourense;AILSON JOSE DE ALMEIDA;172.934;5337;27.96;98.3;0.719;27.03;145.034.334;13585.47
Saltinho;3545159;saltinhense;CARLOS ALBERTO LISI;99.738;8393;70.78;96.8;0.791;21.51;2.464.291.731;29231.2
Salto;3545209;saltense;JOSE GERALDO GARCIA;133.057;119736;792.13;98.4;0.78;7.73;3.222.559.574;59118.2
Salto de Pirapora;3545308;saltense;JOEL DAVID HADDAD;280.509;45860;143.02;98.6;0.729;12.94;119.093.116;36783.17
Salto Grande;3545407;salto-grandense;JOÃO CARLOS RIBEIRO;188.441;9364;46.64;96.5;0.704;9.17;2.633.254.072;22588.75
Sandovalina;3545506;sandovalino ou sandovalinense;AMANDA LIMA DE OLIVEIRA;455.856;4354;8.13;98.2;0.709;18.87;2.594.594.712;95062.51
Santa Adélia;3545605;santa-adeliense;GUILHERME COLOMBO DA SILVA;330.269;15561;43.32;100;0.76;10.93;4.128.203.322;21085.42
Santa Albertina;3545704;santa-albertinense;VANDERCI NOVELLI;272.692;6022;20.98;98.8;0.728;46.15;2.566.663.718;32341.25
Santa Bárbara d'Oeste;3545803;barbarense;DENIS EDUARDO ANDIA;271.03;194390;664.49;98.4;0.781;9.95;50.826.275.516;28635.77
Santa Branca;3546009;santa-branquense;CELSO SIMÃO LEITE;272.238;14857;50.56;98.8;0.735;48.78;4.300.441.533;16811.09
Santa Clara d'Oeste;3546108;santa-clarense;WAIR JACINTO ZAPELÃO;183.458;2113;11.36;98.5;0.733;48.78;1.531.284.899;31470.7
Santa Cruz da Conceição;3546207;santa-cruzense;PATRICIA CAPODIFOGLIO LANDGRAF;150.13;4544;26.66;99.6;0.79;30.3;2.175.271.564;26735.94
Santa Cruz da Esperança;3546256;santacruzense;DIMAR DE BRITO;148.062;2153;13.19;86.2;0.743;66.67;1.468.003.002;26352.5
Santa Cruz das Palmeiras;3546306;palmeirense;JOSÉ CRECENTINO BUSSAGLIA;295.337;34737;101.35;97.3;0.728;12.69;7.508.550.382;15002.54
Santa Cruz do Rio Pardo;3546405;santa-cruzense;OTACILIO PARRAS ASSIS;1.114.747;47943;39.44;96.3;0.762;9.04;14.003.527.044;43319.09
Santa Ernestina;3546504;santa-ernestinense;MARCELO APARECIDO VERONEZI;134.421;5588;41.42;99.2;0.738;16.95;1.714.222.391;16260.61
Santa Fé do Sul;3546603;santa-fé-sulense;ADEMIR MASCHIO;206.537;32563;141.81;97.9;0.784;6.9;14.327.066.428;31876.28
Santa Gertrudes;3546702;santa-gertrudense;ROGERIO PASCON;98.291;27381;220.1;98.3;0.737;3.16;9.570.211.402;61314.55
Santa Isabel;3546801;isabelense;FÁBIA DA SILVA PORTO ROSSETTI;363.332;57966;138.87;97.8;0.738;9.75;13.902.052.821;24165.96
Santa Lúcia;3546900;santa-luciense;LUIZ ANTONIO NOLI;154.033;8854;53.55;98.6;0.737;20.2;1.796.846.151;14542.29
Santa Maria da Serra;3547007;serrense;NARCISO BENEDITO BISTAFA;252.621;6236;21.43;97.5;0.686;12.35;1.858.887.639;21028.36
Santa Mercedes;3547106;mercedense;MANOEL DONIZETE DE OLIVEIRA;166.753;2943;16.96;98.8;0.739;27.03;1.355.866.328;26205.46
Santana da Ponte Pensa;3547205;santanense-da-ponte-pensa;JOSÉ APARECIDO DE MELO;129.888;1467;12.6;100;0.773;111.11;1.113.800.382;22221.48
Santana de Parnaíba;3547304;parnaibano;ELVIS LEONARDO CEZAR;179.949;142301;604.74;97.3;0.814;8.32;6.943.226.095;65083.16
Santa Rita d'Oeste;3547403;santa-ritense;ALAOR PASIAN;209.8;2487;12.1;100;0.761;52.63;1.555.707.891;22250.51
Santa Rita do Passa Quatro;3547502;santa-ritense;LEANDRO LUCIANO DOS SANTOS;754.141;27600;35.11;97.8;0.775;20.16;7.946.384.533;23239.54
Santa Rosa de Viterbo;3547601;santa-rosense;LUIS FERNANDO GASPERINI;288.576;26753;82.69;97.9;0.77;8.2;6.103.555.143;29492.87
Santa Salete;3547650;saletense;JEDER FABIANO SANTIAGO SOUZA;79.192;1552;18.23;100;0.772;-;1.288.079.665;21909.51
Santo Anastácio;3547700;anastaciano;ROBERTO VOLPE;552.876;20866;37.06;98.5;0.753;22.83;4.406.392.075;20082.06
Santo André;3547809;andreense;PAULO HENRIQUE PINTO SERRA;175.782;721368;3848.01;97.4;0.815;7.59;230.185.231.093;38408.12
Santo Antônio da Alegria;3547908;alegriense;JOÃO BAPTISTA MATEUS DE LIMA;310.311;6977;20.32;97.5;0.702;25.64;2.201.369.989;21278.13
Santo Antônio de Posse;3548005;possense;NORBERTO DE OLIVERIO JUNIOR;154.133;23529;134.09;97.3;0.702;15.27;7.699.472.169;45783.3
Santo Antônio do Aracanguá;3548054;aracanguaense;RODRIGO APARECIDO SANTANA RODRIGUES;1.308.432;8481;5.83;98.9;0.757;29.13;4.116.792.738;25933.29
Santo Antônio do Jardim;3548104;jardinense;GILMAR DE OLIVEIRA PEZOTTI;109.956;5940;54.05;97;0.714;39.22;1.622.615.253;22749.99
Santo Antônio do Pinhal;3548203;pinhalense;CLODOMIRO CORREIA DE TOLEDO JUNIOR;133.008;6827;48.76;98.3;0.706;21.51;2.484.380.549;15246.65
Santo Expedito;3548302;expeditense;IVANDECI JOSÉ CABRAL;94.465;3135;29.68;99.1;0.732;30.3;116.784.444;12463.29
Santópolis do Aguapeí;3548401;santopolitano;HAROLDO ALVES PIO;128.026;4817;33.44;98.6;0.74;16.95;1.449.899.071;12975.63
Santos;3548500;santista;PAULO ALEXANDRE PEREIRA BARBOSA;281.033;433656;1494.26;98.2;0.84;9.02;2.489.780.313;51829.99
São Bento do Sapucaí;3548609;são-bentista;RONALDO RIVELINO VENÂNCIO;252.579;10893;41.37;98.5;0.72;8.2;2.964.338.366;18007.82
São Bernardo do Campo;3548708;são-bernardense;ORLANDO MORANDO JUNIOR;409.532;844483;1869.36;97.6;0.805;9.29;357.482.853.686;53998.54
São Caetano do Sul;3548807;sul-caetanense;JOSE AURICCHIO JUNIOR;15.331;161957;9736.03;97.4;0.862;6.54;115.817.091.112;82119.69
São Carlos;3548906;são-carlense;AIRTON GARCIA FERREIRA;1.136.907;254484;195.15;97.9;0.805;7.74;71.903.629.493;42568.73
São Francisco;3549003;são-francisquense;MAURICIO HONORIO DE CARVALHO;75.579;2817;36.94;100;0.723;51.28;1.437.734.253;16836.96
São João da Boa Vista;3549102;são-joanense;VANDERLEI BORGES DE CARVALHO;516.399;91771;161.96;97.2;0.797;15.97;31.394.732.844;32449.24
São João das Duas Pontes;3549201;são-joanense;JOSÉ CARLOS BARUCI;129.462;2561;19.84;99.4;0.72;33.33;136.876.726;16159.83
São João de Iracema;3549250;iracemense;LUCIANA DIAS RODRIGUES;178.396;1932;9.97;98.1;0.748;153.85;1.481.882.878;18311.12
São João do Pau d'Alho;3549300;são-joanense;FERNANDO BARBERINO;117.665;2100;17.86;99.2;0.75;43.48;1.226.472.769;25857.96
São Joaquim da Barra;3549409;joaquinense;MARCELO DE PAULA MIAN;410.863;52319;113.28;96.7;0.762;8.53;11.725.073.056;30118.29
São José da Bela Vista;3549508;bela-vistense;PAULO CÉSAR LOPES DO NASCIMENTO;276.952;8960;30.35;97.9;0.693;21.28;2.692.364.328;18123.9
São José do Barreiro;3549607;barreirense;ALEXANDRE DE SIQUEIRA BRAGA;570.685;4144;7.14;95.5;0.684;24.39;1.763.631.202;11226.65
São José do Rio Pardo;3549706;rio-pardense;ERNANI CHRISTOVAM VASCONCELLOS;419.684;55124;123.81;97.6;0.774;5.67;16.263.164.764;31557.36
São José do Rio Preto;3549805;rio-pretense;EDSON EDINHO COELHO ARAÚJO;431.944;464983;945.12;98;0.797;8.42;148.508.901.712;36599.83
São José dos Campos;3549904;joseense;FELÍCIO RAMUTH;1.099.409;729737;572.96;97.4;0.807;9.34;243.945.695.088;56638.69
São Lourenço da Serra;3549953;são-lourensano;ARY ANTONIO DESPEZZIO CINTRA;186.456;15978;74.99;97.2;0.728;4.95;3.717.015.235;13369.02
São Luiz do Paraitinga;3550001;luizense;ANA LUCIA BILARD SICHERLE;617.315;10690;16.84;100;0.697;8.26;3.233.016.485;16095.76
São Manuel;3550100;são-manuelense;RICARDO SALARO NETO;650.734;41123;58.92;97.3;0.744;9.54;1.142.406.622;27148.2
São Miguel Arcanjo;3550209;são-miguelense;PAULO RICARDO DA SILVA;930.339;33002;33.8;95.9;0.71;14.22;7.310.570.149;20551.9
São Paulo;3550308;paulistano;BRUNO COVAS LOPES;1521.11;12325232;7398.26;96;0.805;11.19;5.141.402.907.708;57759.39
São Pedro;3550407;são-pedrense;HELIO DONIZETE ZANATTA;611.278;35980;51.98;94.8;0.755;4.68;10.885.813.408;21245.9
São Pedro do Turvo;3550506;são-pedrense;MARCO AURELIO OLIVEIRA PINHEIRO;731.221;7696;9.84;97.4;0.703;23.26;2.589.361.321;26587.16
São Roque;3550605;são-roquense;CLAUDIO JOSÉ DE GÓES;306.908;92060;256.82;97.6;0.768;13.65;23.847.189.096;30797.77
São Sebastião;3550704;sebastianense;FELIPE AUGUSTO;402.395;90328;185;98.2;0.772;7.75;64.159.319.352;31695.7
São Sebastião da Grama;3550803;gramense;RICARDO RIBEIRO FLORIDO;252.41;12159;47.94;98.3;0.701;19.05;3.036.808.808;26529.1
São Simão;3550902;simonense;MARCOS DANIEL BONAGAMBA;617.252;15385;23.24;99.8;0.766;15.04;4.886.635.085;30588.33
São Vicente;3551009;vicentino;PEDRO LUIS DE FREITAS GOUVÊA JÚNIOR;148.1;368355;2247.88;96.7;0.768;16.1;89.572.104.015;14441.16
Sarapuí;3551108;sarapuiano;WELLIGTON MACHADO DE MORAES;352.592;10390;25.6;99;0.707;8.47;2.639.332.905;14976.54
Sarutaiá;3551207;sarutaiano;ISNAR FRESCHI SOARES;141.608;3630;25.58;98.7;0.688;17.24;1.311.647.751;17598.52
Sebastianópolis do Sul;3551306;sebastianopolense;MANOEL ERANI LEITE MAGALHÃES;167.848;3554;18.03;99;0.773;48.78;1.881.318.047;91322.46
Serra Azul;3551405;serra-azulense;AUGUSTO FRASSETTO NETO;283.144;14981;39.75;96.9;0.686;7.41;2.632.356.501;11955.52
Serrana;3551504;serranense;VALERIO ANTONIO GALANTE;126.046;45644;308.44;97.5;0.729;7.85;12.413.069.363;21491.54
Serra Negra;3551603;serrano;SIDNEY ANTONIO FERRARESSO;203.734;29452;129.52;97.8;0.767;12.31;9.309.180.207;25080.39
Sertãozinho;3551702;sertanezino;JOSÉ ALBERTO GIMENEZ;403.089;127142;273.22;98.5;0.761;15.19;43.647.244.101;43728.51
Sete Barras;3551801;barrense;DEAN ALVES MARTINS;1.062.699;12780;12.24;96.1;0.673;4.95;3.669.815.678;31583.95
Severínia;3551900;severinense;CELSO DA SILVA;140.46;17661;110.38;96;0.715;16.22;5.337.290.145;13667.33
Silveiras;3552007;silveirense;GUILHERME CARVALHO DA SILVA;414.782;6339;13.96;98.2;0.678;14.29;2.142.088.003;10815.68
Socorro;3552106;socorrense;ANDRÉ EDUARDO BOZOLA DE SOUZA PINTO;449.029;41352;81.7;97.7;0.729;12.08;9.475.396.146;20460.78
Sorocaba;3552205;sorocabano;JOSÉ CRESPO;450.382;687357;1304.18;98.1;0.798;9.71;241.115.068.528;48271.34
Sud Mennucci;3552304;sud-mennucciano;JULIO CESAR GOMES;594.744;7728;12.57;98.3;0.747;9.43;3.483.406.856;23184.11
Sumaré;3552403;sumareense;LUIZ ALFREDO CASTRO RUZZA DALBEN;153.465;286211;1572.04;97.7;0.762;8.88;59.415.462.105;50345.14
Suzano;3552502;suzanense;RODRIGO KENJI DE SOUZA ASHIUCHI;206.236;300559;1272.93;96.7;0.765;10.75;60.056.875.131;37009.04
Suzanápolis;3552551;suzanapolense;ANTONIO ALCINO VIDOTTI;330.587;4014;10.24;99.8;0.699;27.03;2.302.492.817;67940.53
Tabapuã;3552601;tabapuãnense;MARIA FELICIDADE PERES CAMPOS ARROYO;345.792;12485;32.88;98.4;0.735;17.86;3.420.520.659;19749.6
Tabatinga;3552700;tabatinguense;EDUARDO PONQUIO MARTINEZ;368.604;16644;39.74;96.5;0.704;14.15;3.600.723.217;17217.96
Taboão da Serra;3552809;taboense;FERNANDO FERNANDES FILHO;20.388;293652;11994.31;96.9;0.769;13.3;68.760.938.547;31626.65
Taciba;3552908;tacibense;ALAIR ANTONIO BATISTA;607.267;6329;9.41;99.3;0.723;12.35;3.417.234.895;24555.73
Taguaí;3553005;taguaíno;JAIR CARIOVALDO CARNIATO;145.332;14141;74.51;97.3;0.709;21.62;3.144.380.012;17218.27
Taiaçu;3553104;taiaçuense;SUELI APARECIDA MENDES BIANCARDI;107.059;6320;55.27;97.8;0.71;37.04;1.852.071.058;14800.85
Taiúva;3553203;taiuvense;FRANCISCO SERGIO CLAPIS;132.459;5564;41.12;97.8;0.76;34.48;1.911.440.334;20716.21
Tambaú;3553302;tambauense;RONI DONIZETI ASTORFO;561.788;23232;39.88;97.7;0.731;13.2;7.003.354.986;22974.12
Tanabi;3553401;tanabiense;NORAIR CASSIANO DA SILVEIRA;747.218;26101;32.25;99;0.748;4.02;6.488.793.619;36483.91
Tapiraí;3553500;tapiraiense;ALVINO GUILHERME MARZEUSKI;755.1;7766;10.61;98.3;0.681;33.71;2.254.915.523;18272.43
Tapiratiba;3553609;tapiratibense;LUIZ ANTONIO PERES;221.891;12950;57.23;98.2;0.751;6.94;3.638.266.474;24974.67
Taquaral;3553658;taquaralense;LAÉRCIO VICENTE SCARAMAL;53.892;2813;50.58;98.2;0.759;31.25;1.332.540.252;13472.17
Taquaritinga;3553708;taquaritinguense;VANDERLEI JOSÉ MARSICO;594.335;57364;90.95;98.2;0.748;11.01;17.250.013.688;25795.88
Taquarituba;3553807;taquaritubense;JOSE CLOVIS DE ALMEIDA;448.515;23256;49.71;97.8;0.701;17.36;6.714.529.949;27996.22
Taquarivaí;3553856;taquarivaiense;MARIA SEBASTIANA CECÉ CARDOSO PRIOSTI;231.792;5911;22.22;99.4;0.679;10.53;2.177.357.811;42467.23
Tarabai;3553906;tarabaíno;JOSE ROQUE DA SILVA LIRA;201.385;7540;32.78;99.2;0.726;10.42;2.100.502.729;14869.7
Tarumã;3553955;tarumaense;OSCAR GOZZI;302.913;15183;42.5;99;0.753;14.35;5.273.548.111;61201.45
Tatuí;3554003;tatuiano;MARIA JOSE PINTO VIEIRA DE CAMARGO;523.749;122967;205.03;97.6;0.752;12.99;29.401.376.822;32295.15
Taubaté;3554102;taubateano;JOSE BERNARDO ORTIZ MONTEIRO JUNIOR;625.003;317915;445.98;98.1;0.8;12.53;108.850.718.946;54552.88
Tejupá;3554201;tejupaense;PEDRO BERGAMO NETO;296.189;4491;16.23;98.4;0.668;16.39;1.702.499.747;19600.21
Teodoro Sampaio;3554300;teodorense;AILTON CESAR HERLING;1.555.803;23273;13.74;97.1;0.741;14.08;6.584.112.864;20912.21
Terra Roxa;3554409;terra-roxense;MARCELINO ABBES FILHO;221.541;9437;38.39;98.9;0.749;10.31;2.372.592.671;15994.36
Tietê;3554508;tieteense;VLAMIR DE JESUS SANDEI;404.396;42517;91.09;97.1;0.778;9.42;13.382.402.054;42411.28
Timburi;3554607;timburiense;PAULO CESAR MINOZZI;196.79;2652;13.45;99.7;0.71;47.62;1.564.012.207;17746.37
Torre de Pedra;3554656;torrepedrense;EMERSON JOSE DA MOTA;71.348;2422;31.59;98.4;0.714;40;118.465.287;11634.39
Torrinha;3554706;torrinhense;RONALDO GASPARELO;315.267;10056;29.59;96.4;0.744;19.42;220.238.828;21475.18
Trabiju;3554755;trabijuense;MAURILIO TAVONI JUNIOR;63.421;1738;24.35;98.4;0.722;142.86;1.094.536.461;25550.7
Tremembé;3554805;tremembeense;MARCELO VAQUELI;191.094;47714;214.17;97.8;0.785;11.95;11.371.491.882;16743.77
Três Fronteiras;3554904;trifonteirano;RUBENS JOSE BELAO;151.594;5832;35.9;98.8;0.753;12.5;1.719.962.123;18648.54
Tuiuti;3554953;tuiutiense;JAIR FERNANDES GONÇALVES;126.731;6977;46.8;97.3;0.728;18.87;1.814.940.958;12857.23
Tupã;3555000;tupãense;JOSE RICARDO RAYMUNDO;627.986;65570;100.99;97.3;0.771;15.03;14.530.654.681;26771.08
Tupi Paulista;3555109;tupinense-paulista;ALEXANDRE TASSONI ANTONIO;244.77;15583;58.16;99.4;0.769;18.18;3.895.097.427;18416.62
Turiúba;3555208;turiubano;RUBENS FERNANDO DE SOUZA;153.235;2020;12.6;100;0.751;71.43;1.559.311.808;23335.27
Turmalina;3555307;turmalinense;ALEXANDRO RIBEIRO PEREIRA;147.797;1696;13.37;97.1;0.736;90.91;1.456.755.513;33610.78
Ubarana;3555356;ubaranense;JOAO COSTA MENDONCA;209.861;6400;25.23;99.7;0.7;10.87;2.417.093.582;57453.52
Ubatuba;3555406;ubatubano;DELCIO JOSÉ SATO;708.105;91824;108.87;97.7;0.751;14.15;29.815.669.047;22247.7
Ubirajara;3555505;ubirajarense;JOSE ALTAIR GONCALVES;282.179;4804;15.68;98.9;0.727;11.63;1.656.292.581;18842.14
Uchoa;3555604;uchoense;VALDEMIR ANTONIO PINHEIRO DE CARVALHO;252.434;10151;37.51;98.2;0.721;10.64;3.690.101.191;36812.45
União Paulista;3555703;união-paulistense;CLEUSA GUI MARTINS;79.056;1865;20.21;96.8;0.749;90.91;1.219.537.474;27391.37
Urânia;3555802;uraniense;MARCIO ARJOL DOMINGUES;209.262;9120;42.29;100;0.746;10.53;2.228.244.791;20886.66
Uru;3555901;uruense;BENEDITO JOSÉ RIBEIRO;146.901;1153;8.51;95.1;0.712;90.91;128.089.538;45209.33
Urupês;3556008;urupeense;ALCEMIR CÁSSIO GRÉGGIO;323.916;13888;39.27;99.1;0.745;6.9;3.802.705.381;28564.11
Valentim Gentil;3556107;valentim-gentilense;ADILSON JESUS PEREZ SEGURA;149.741;13532;73.72;98.8;0.735;10.93;3.359.752.379;25625.18
Valinhos;3556206;valinhense;ORESTES PREVITALE JUNIOR;148.538;131210;718.7;97.2;0.819;7.18;46.500.677.039;46237.02
Valparaíso;3556305;valparaisense;LUCIO SANTO DE LIMA;857.661;26822;26.33;98;0.725;15.53;7.631.353.161;38621.02
Vargem;3556354;vargense;SILAS MARQUES DA ROSA;142.595;10692;61.71;98.1;0.699;17.54;2.127.149.876;11121.64
Vargem Grande do Sul;3556404;vargem-grandense;AMARILDO DUZI MORAES;267.178;43110;146.94;98.8;0.737;10.79;9.927.163.142;22348.98
Vargem Grande Paulista;3556453;vargem-grandense;JOSUÉ SILVEIRA RAMOS;42.489;53468;1012.1;97.2;0.77;8.11;14.051.841.277;35857.88
Várzea Paulista;3556503;varzino;JUVENAL ROSSI;35.12;123071;3049.14;96.9;0.759;15.17;23.574.621.113;22356.93
Vera Cruz;3556602;vera-cruzense;RENATA ZOMPERO DIAS DEVITO;247.716;10823;43.41;99;0.754;9.01;2.598.575.064;12178.63
Vinhedo;3556701;vinhedense;JAIME CESAR DA CRUZ;81.604;80111;779.51;97.5;0.817;9.5;41.835.627.866;116199.28
Viradouro;3556800;viradourense;ANTONIO CARLOS RIBEIRO DE SOUZA;217.726;19017;79.44;98.4;0.739;8.97;5.160.634.254;19091.99
Vista Alegre do Alto;3556909;vista-alegrense;LUÍS ANTÔNIO FIORANI;95.429;8989;72.5;100;0.744;12.2;3.137.457.874;42434.86
Vitória Brasil;3556958;vitoriabrasiliense;ANA LUCIA OLHIER MODULO;49.832;1846;34.95;98.5;0.725;66.67;1.119.787.992;18432.83
Votorantim;3557006;votorantinense;FERNANDO DE OLIVEIRA SOUZA;183.517;123599;591.04;97.8;0.767;13.64;34.541.468.654;25036.13
Votuporanga;3557105;votuporanguense;JOÃO EDUARDO DADO LEITE DE CARVALHO;420.703;95338;201.15;98.8;0.79;8.61;27.205.423.556;30269.67
Zacarias;3557154;zacariense;LUCINÉIA ZACARIAS;319.056;2752;7.32;98.6;0.729;32.26;1.871.416.876;35478.15
Chavantes;3557204;chavantense;MARCIO DE JESUS DO REGO;188.727;12418;64.4;98.6;0.729;5.29;3.434.323.006;16939.8
Estiva Gerbi;3557303;estivense;CLAUDIA BOTELHO DE OLIVEIRA DIEGUES;74.144;11407;135.35;98.6;0.74;7.87;3.542.287.636;28302.88
